name_profile,drug,dose,time,nsamples_trt,nsamples_ctl,sample_size,n_batch,ss_genes,UP,DOWN,cell_iname
vorinostat_10uM_24h,vorinostat,10 uM,24 h,99,1239,1338,27,844,427,417,NPC
sirolimus_10uM_24h,sirolimus,10 uM,24 h,57,1005,1062,19,565,228,337,NPC
resveratrol_10uM_24h,resveratrol,10 uM,24 h,32,368,400,7,165,61,104,NPC
riluzole_10uM_24h,riluzole,10 uM,24 h,29,452,481,10,245,90,155,NPC
dasatinib_10uM_24h,dasatinib,10 uM,24 h,28,609,637,10,354,135,219,NPC
dasatinib_0.04uM_24h,dasatinib,0.04 uM,24 h,25,592,617,9,164,82,82,NPC
dasatinib_0.12uM_24h,dasatinib,0.12 uM,24 h,25,592,617,9,155,79,76,NPC
dasatinib_0.37uM_24h,dasatinib,0.37 uM,24 h,25,592,617,9,239,88,151,NPC
dasatinib_1.11uM_24h,dasatinib,1.11 uM,24 h,25,592,617,9,238,87,151,NPC
decitabine_10uM_24h,decitabine,10 uM,24 h,24,320,344,6,147,74,73,NPC
dasatinib_3.33uM_24h,dasatinib,3.33 uM,24 h,24,564,588,9,204,87,117,NPC
dopamine_10uM_24h,dopamine,10 uM,24 h,23,49,72,3,16,2,14,NPC
vorinostat_10uM_6h,vorinostat,10 uM,6 h,22,69,91,4,446,201,245,NPC
resveratrol_10uM_6h,resveratrol,10 uM,6 h,21,32,53,3,47,10,37,NPC
tranylcypromine_10uM_24h,tranylcypromine,10 uM,24 h,20,344,364,7,0,0,0,NPC
forskolin_10uM_24h,forskolin,10 uM,24 h,20,62,82,3,154,35,119,NPC
dopamine_10uM_6h,dopamine,10 uM,6 h,20,39,59,2,0,0,0,NPC
tamoxifen_10uM_24h,tamoxifen,10 uM,24 h,20,79,99,3,141,26,115,NPC
tretinoin_10uM_24h,tretinoin,10 uM,24 h,19,91,110,4,25,17,8,NPC
valproic-acid_10uM_6h,valproic-acid,10 uM,6 h,18,30,48,2,305,86,219,NPC
olaparib_10uM_24h,olaparib,10 uM,24 h,18,441,459,6,310,161,149,NPC
retinol_10uM_24h,retinol,10 uM,24 h,18,71,89,3,36,7,29,NPC
pregnenolone_10uM_24h,pregnenolone,10 uM,24 h,18,79,97,4,8,2,6,NPC
olaparib_0.04uM_24h,olaparib,0.04 uM,24 h,18,441,459,6,14,4,10,NPC
olaparib_0.37uM_24h,olaparib,0.37 uM,24 h,18,441,459,6,13,10,3,NPC
olaparib_1.11uM_24h,olaparib,1.11 uM,24 h,18,441,459,6,31,21,10,NPC
olaparib_3.33uM_24h,olaparib,3.33 uM,24 h,18,441,459,6,60,39,21,NPC
estradiol_10uM_24h,estradiol,10 uM,24 h,17,87,104,4,269,100,169,NPC
valproic-acid_10uM_24h,valproic-acid,10 uM,24 h,17,54,71,2,401,105,296,NPC
dexamethasone_10uM_24h,dexamethasone,10 uM,24 h,17,121,138,5,72,15,57,NPC
olaparib_0.12uM_24h,olaparib,0.12 uM,24 h,17,420,437,6,12,8,4,NPC
oxiracetam_30uM_24h,oxiracetam,30 uM,24 h,15,347,362,5,6,6,0,NPC
tianeptine_30uM_24h,tianeptine,30 uM,24 h,15,347,362,5,22,10,12,NPC
oxiracetam_125uM_24h,oxiracetam,125 uM,24 h,15,347,362,5,15,9,6,NPC
tianeptine_125uM_24h,tianeptine,125 uM,24 h,15,347,362,5,45,37,8,NPC
serotonin_10uM_6h,serotonin,10 uM,6 h,15,39,54,2,0,0,0,NPC
serotonin_10uM_24h,serotonin,10 uM,24 h,15,41,56,2,184,83,101,NPC
imatinib_10uM_24h,imatinib,10 uM,24 h,15,71,86,3,24,8,16,NPC
decitabine_10uM_6h,decitabine,10 uM,6 h,15,32,47,3,90,24,66,NPC
tetrabenazine_10uM_24h,tetrabenazine,10 uM,24 h,15,41,56,2,73,27,46,NPC
roflumilast_10uM_24h,roflumilast,10 uM,24 h,15,347,362,5,5,1,4,NPC
tetrabenazine_10uM_6h,tetrabenazine,10 uM,6 h,15,39,54,2,0,0,0,NPC
doconexent_10uM_24h,doconexent,10 uM,24 h,15,62,77,3,0,0,0,NPC
vorinostat_1.11uM_24h,vorinostat,1.11 uM,24 h,15,340,355,5,297,146,151,NPC
