"","Freq","cmap_name","pert_idose","pert_itime","cell_iname","cmap1","cmap2","ZangS","XsumS"
"1",4,"1-methylisoquinoline","10uM","24h","NPC","77 (-0.68)","8 (-1.4)","126 (-0.13)","49 (-26.78)"
"2",4,"A-769662","1.11uM","24h","NEU","11 (-0.85)","14 (-1.38)","16 (-0.19)","16 (-36.62)"
"3",4,"AST-1306","0.04uM","24h","MNEU","4 (-0.89)","36 (-1.28)","5 (-0.22)","66 (-20.47)"
"4",4,"AZD-7762","0.12uM","24h","NEU","14 (-0.84)","38 (-1.26)","22 (-0.18)","37 (-30.32)"
"5",4,"BAY-61-3606","0.04uM","24h","NEU","25 (-0.79)","9 (-1.4)","17 (-0.19)","13 (-39.36)"
"6",4,"BAY-61-3606","0.12uM","24h","NEU","42 (-0.75)","25 (-1.33)","21 (-0.18)","10 (-44.4)"
"7",4,"BRD-A89907244","10uM","24h","NPC","105 (-0.65)","10 (-1.39)","101 (-0.14)","39 (-29.88)"
"8",4,"BRD-K09640010","10uM","24h","NPC","68 (-0.69)","54 (-1.21)","57 (-0.16)","67 (-19.97)"
"9",4,"BRL-15572","10uM","24h","NPC","224 (-0.56)","33 (-1.3)","129 (-0.13)","71 (-18.69)"
"10",4,"BX-795","10uM","24h","NEU","27 (-0.78)","44 (-1.24)","49 (-0.17)","21 (-34.95)"
"11",4,"ciclacillin","10uM","24h","NPC","58 (-0.71)","42 (-1.25)","106 (-0.14)","68 (-19.66)"
"12",4,"dabrafenib","0.37uM","24h","NEU","126 (-0.63)","40 (-1.25)","127 (-0.13)","48 (-26.83)"
"13",4,"dacomitinib","0.37uM","24h","MNEU","1 (-1)","2 (-1.48)","1 (-0.25)","46 (-27.29)"
"14",4,"DMP-543","10uM","24h","NPC","26 (-0.78)","4 (-1.47)","19 (-0.19)","25 (-32.97)"
"15",4,"GNF-2","0.37uM","24h","NEU","71 (-0.69)","50 (-1.22)","26 (-0.18)","14 (-38.56)"
"16",4,"GSK-2334470","0.12uM","24h","NEU","83 (-0.67)","39 (-1.26)","38 (-0.17)","40 (-29.59)"
"17",4,"GW-5074","0.37uM","24h","NEU","41 (-0.75)","18 (-1.35)","9 (-0.2)","18 (-35.24)"
"18",4,"H-7","10uM","24h","NPC","222 (-0.56)","11 (-1.39)","93 (-0.14)","36 (-30.44)"
"19",4,"HMN-214","0.04uM","24h","NEU","235 (-0.56)","57 (-1.2)","137 (-0.13)","27 (-31.68)"
"20",4,"HMN-214","0.37uM","24h","NEU","47 (-0.73)","62 (-1.17)","64 (-0.15)","7 (-47.46)"
"21",4,"I-BET-151","1.11uM","24h","NPC","144 (-0.61)","13 (-1.38)","108 (-0.14)","55 (-24.34)"
"22",4,"I-BET-762","0.37uM","24h","NPC","185 (-0.59)","26 (-1.33)","115 (-0.13)","74 (-17.25)"
"23",4,"ibrutinib","10uM","24h","MNEU","23 (-0.79)","22 (-1.34)","15 (-0.19)","34 (-31.04)"
"24",4,"JQ-1-R","10uM","24h","NPC","304 (-0.52)","6 (-1.43)","132 (-0.13)","79 (-16.2)"
"25",4,"JWE-035","0.04uM","24h","NEU","29 (-0.78)","41 (-1.25)","27 (-0.18)","20 (-35.07)"
"26",4,"KIN001-242","0.37uM","24h","NEU","13 (-0.84)","23 (-1.34)","12 (-0.2)","23 (-33.75)"
"27",4,"KIN001-242","10uM","24h","NEU","107 (-0.65)","49 (-1.22)","65 (-0.15)","28 (-31.56)"
"28",4,"KIN001-242","3.33uM","24h","NEU","37 (-0.75)","31 (-1.31)","50 (-0.17)","51 (-26.13)"
"29",4,"KIN001-260","0.12uM","24h","NEU","76 (-0.68)","12 (-1.39)","31 (-0.17)","12 (-39.99)"
"30",4,"KIN001-260","10uM","24h","NEU","6 (-0.88)","43 (-1.25)","14 (-0.19)","15 (-37.61)"
"31",4,"KIN001-260","3.33uM","24h","NEU","17 (-0.83)","3 (-1.48)","3 (-0.23)","3 (-53.8)"
"32",4,"KIN001-266","3.33uM","24h","MNEU","50 (-0.72)","27 (-1.33)","41 (-0.17)","70 (-18.96)"
"33",4,"KIN001-269","0.37uM","24h","NEU","24 (-0.79)","63 (-1.17)","34 (-0.17)","26 (-32)"
"34",4,"KW-2449","0.12uM","24h","MNEU","80 (-0.68)","66 (-1.1)","62 (-0.16)","77 (-16.66)"
"35",4,"MLN-8054","1.11uM","24h","NEU","92 (-0.67)","17 (-1.35)","40 (-0.17)","35 (-30.63)"
"36",4,"MRS-1220","10uM","24h","NEU","131 (-0.63)","51 (-1.22)","178 (-0.11)","29 (-31.51)"
"37",4,"PF-573228","1.11uM","24h","NEU","8 (-0.86)","15 (-1.37)","10 (-0.2)","8 (-47.21)"
"38",4,"PF-573228","10uM","24h","NEU","72 (-0.69)","61 (-1.18)","63 (-0.15)","41 (-29.49)"
"39",4,"PF-573228","3.33uM","24h","NEU","18 (-0.83)","5 (-1.44)","11 (-0.2)","17 (-36.38)"
"40",4,"PFI-1","3.33uM","24h","NPC","112 (-0.64)","24 (-1.33)","172 (-0.12)","76 (-16.69)"
"41",4,"PHA-767491","0.04uM","24h","MNEU","236 (-0.56)","65 (-1.15)","92 (-0.14)","75 (-16.71)"
"42",4,"pyrazolanthrone","3.33uM","24h","NEU","84 (-0.67)","56 (-1.21)","51 (-0.17)","30 (-31.46)"
"43",4,"RAF-265","10uM","24h","NEU","158 (-0.6)","29 (-1.32)","52 (-0.16)","6 (-50.36)"
"44",4,"regorafenib","0.37uM","24h","NEU","243 (-0.55)","37 (-1.28)","102 (-0.14)","32 (-31.1)"
"45",4,"SAR-245409","3.33uM","24h","MNEU","15 (-0.84)","64 (-1.16)","60 (-0.16)","52 (-25.04)"
"46",4,"SB-203580","3.33uM","24h","NEU","108 (-0.65)","55 (-1.21)","104 (-0.14)","53 (-24.73)"
"47",4,"SDZ-NKT-343","10uM","24h","NEU","21 (-0.81)","60 (-1.18)","32 (-0.17)","33 (-31.04)"
"48",4,"SGI-1776","0.37uM","24h","MNEU","19 (-0.82)","46 (-1.24)","8 (-0.2)","78 (-16.59)"
"49",4,"SGX-523","0.37uM","24h","NEU","10 (-0.85)","34 (-1.28)","48 (-0.17)","11 (-41.06)"
"50",4,"STK-661558","10uM","24h","NEU","119 (-0.64)","32 (-1.3)","66 (-0.15)","38 (-30.08)"
"51",4,"TAK-715","0.37uM","24h","NEU","5 (-0.88)","7 (-1.41)","4 (-0.22)","9 (-44.72)"
"52",4,"TAK-715","1.11uM","24h","NEU","9 (-0.85)","1 (-1.56)","2 (-0.24)","5 (-52.38)"
"53",4,"tivantinib","0.37uM","24h","MNEU","31 (-0.77)","45 (-1.24)","23 (-0.18)","80 (-14.57)"
"54",4,"XMD-1499","0.12uM","24h","NEU","69 (-0.69)","59 (-1.19)","53 (-0.16)","19 (-35.19)"
"55",3,"AZD-1480","1.11uM","24h","NEU","38 (-0.75)",NA,"36 (-0.17)","43 (-28.6)"
"56",3,"AZD-4547","0.04uM","24h","MNEU","197 (-0.58)",NA,"109 (-0.14)","73 (-18.16)"
"57",3,"BG-1029","10uM","24h","NPC","293 (-0.53)",NA,"142 (-0.13)","2 (-59.69)"
"58",3,"BIX-02189","1.11uM","24h","MNEU","7 (-0.87)","53 (-1.22)","13 (-0.2)",NA
"59",3,"BRD-K31295191","10uM","24h","NPC","189 (-0.58)",NA,"157 (-0.12)","83 (-11.63)"
"60",3,"BRD-K32188552","10uM","24h","NPC","174 (-0.59)",NA,"89 (-0.14)","22 (-34.16)"
"61",3,"CP-93129","10uM","24h","NPC","241 (-0.55)",NA,"168 (-0.12)","59 (-22.64)"
"62",3,"dabrafenib","0.12uM","24h","NEU","199 (-0.58)",NA,"110 (-0.14)","42 (-28.61)"
"63",3,"dasatinib","1.11uM","24h","MNEU","101 (-0.66)",NA,"88 (-0.14)","60 (-22.45)"
"64",3,"FR-180204","3.33uM","24h","MNEU","206 (-0.57)",NA,"165 (-0.12)","81 (-14.46)"
"65",3,"GW-5074","0.12uM","24h","NEU","210 (-0.57)",NA,"96 (-0.14)","50 (-26.33)"
"66",3,"I-BET-151","0.37uM","24h","NPC","251 (-0.55)",NA,"156 (-0.12)","65 (-20.54)"
"67",3,"I-BET-762","1.11uM","24h","NPC","247 (-0.55)","19 (-1.35)",NA,"64 (-21.04)"
"68",3,"KW-2449","0.37uM","24h","MNEU","118 (-0.64)",NA,"150 (-0.13)","63 (-21.47)"
"69",3,"M-344","10uM","24h","NPC","240 (-0.55)",NA,"121 (-0.13)","4 (-52.66)"
"70",3,"PFI-1","10uM","24h","NPC","201 (-0.57)","28 (-1.32)",NA,"44 (-28.46)"
"71",3,"PQ-401","10uM","24h","NPC","78 (-0.68)",NA,"76 (-0.15)","69 (-19.11)"
"72",3,"pyrazolanthrone","1.11uM","24h","NEU","35 (-0.76)",NA,"39 (-0.17)","31 (-31.15)"
"73",3,"TAK-715","0.04uM","24h","NEU","203 (-0.57)","58 (-1.2)","74 (-0.15)",NA
"74",2,"alectinib","10uM","24h","NPC","137 (-0.62)",NA,"95 (-0.14)",NA
"75",2,"ALW-II-49-7","10uM","24h","MNEU","207 (-0.57)",NA,"111 (-0.14)",NA
"76",2,"AST-1306","0.12uM","24h","MNEU","3 (-0.91)",NA,"7 (-0.21)",NA
"77",2,"AST-1306","1.11uM","24h","MNEU","54 (-0.72)",NA,"55 (-0.16)",NA
"78",2,"AST-1306","3.33uM","24h","MNEU","70 (-0.69)",NA,"33 (-0.17)",NA
"79",2,"AT-7867","3.33uM","24h","MNEU","264 (-0.54)",NA,"162 (-0.12)",NA
"80",2,"AZD-4547","1.11uM","24h","MNEU","81 (-0.68)",NA,"43 (-0.17)",NA
"81",2,"AZD-9291","1.11uM","24h","MNEU","34 (-0.76)",NA,"59 (-0.16)",NA
"82",2,"BAY-61-3606","0.37uM","24h","NEU","106 (-0.65)",NA,"138 (-0.13)",NA
"83",2,"BAY-61-3606","3.33uM","24h","NEU","120 (-0.64)",NA,"161 (-0.12)",NA
"84",2,"BIX-01338","10uM","24h","NEU","177 (-0.59)",NA,"143 (-0.13)",NA
"85",2,"BIX-02189","0.37uM","24h","MNEU","45 (-0.73)",NA,"29 (-0.18)",NA
"86",2,"BMS-777607","0.04uM","24h","NPC","220 (-0.57)",NA,"139 (-0.13)",NA
"87",2,"bosutinib","10uM","24h","MNEU","124 (-0.64)",NA,"112 (-0.13)",NA
"88",2,"BRD-A84389633","10uM","24h","NEU","248 (-0.55)",NA,"174 (-0.11)",NA
"89",2,"BRD-A92800748","10uM","24h","NEU","187 (-0.58)",NA,"117 (-0.13)",NA
"90",2,"BRD-K05984448","10uM","24h","NPC","156 (-0.61)",NA,"107 (-0.14)",NA
"91",2,"BRD-K09991945","0.04uM","24h","MNEU","111 (-0.64)",NA,"70 (-0.15)",NA
"92",2,"BRD-K09991945","0.37uM","24h","MNEU","94 (-0.66)",NA,"56 (-0.16)",NA
"93",2,"BRD-K09991945","3.33uM","24h","MNEU","57 (-0.71)",NA,"30 (-0.18)",NA
"94",2,"BRD-K14842454","10uM","24h","NEU","125 (-0.64)",NA,"140 (-0.13)",NA
"95",2,"BRD-K17693482","10uM","24h","NPC",NA,"21 (-1.34)",NA,"47 (-26.84)"
"96",2,"BRD-K33392208","10uM","24h","NEU","87 (-0.67)",NA,"103 (-0.14)",NA
"97",2,"BRD-K51791390","10uM","24h","NEU","142 (-0.62)",NA,"159 (-0.12)",NA
"98",2,"BS-181","0.37uM","24h","MNEU","2 (-0.92)",NA,"6 (-0.21)",NA
"99",2,"BX-795","0.37uM","24h","NEU","90 (-0.67)",NA,"58 (-0.16)",NA
"100",2,"BX-795","1.11uM","24h","NEU","172 (-0.59)",NA,"153 (-0.12)",NA
"101",2,"cabozantinib","0.12uM","24h","MNEU","62 (-0.7)",NA,"71 (-0.15)",NA
"102",2,"cabozantinib","3.33uM","24h","MNEU","48 (-0.72)",NA,"35 (-0.17)",NA
"103",2,"cephaeline","10uM","24h","NEU","122 (-0.64)",NA,"116 (-0.13)",NA
"104",2,"D-4476","1.11uM","24h","NEU","123 (-0.64)",NA,"78 (-0.15)",NA
"105",2,"dabrafenib","1.11uM","24h","NEU","178 (-0.59)",NA,"133 (-0.13)",NA
"106",2,"dabrafenib","10uM","24h","NEU","79 (-0.68)",NA,"122 (-0.13)",NA
"107",2,"dacomitinib","0.04uM","24h","MNEU","28 (-0.78)",NA,"46 (-0.17)",NA
"108",2,"dacomitinib","0.12uM","24h","MNEU","30 (-0.78)",NA,"42 (-0.17)",NA
"109",2,"dacomitinib","3.33uM","24h","MNEU","43 (-0.74)",NA,"54 (-0.16)",NA
"110",2,"dasatinib","0.04uM","24h","MNEU","168 (-0.6)",NA,"135 (-0.13)",NA
"111",2,"dasatinib","0.12uM","24h","MNEU","91 (-0.67)",NA,"75 (-0.15)",NA
"112",2,"dasatinib","3.33uM","24h","MNEU","22 (-0.8)",NA,"20 (-0.19)",NA
"113",2,"ecopipam","10uM","24h","NEU","61 (-0.7)",NA,"136 (-0.13)",NA
"114",2,"equilin","10uM","24h","NPC","257 (-0.54)",NA,"182 (-0.11)",NA
"115",2,"eugenitol","10uM","24h","NPC","212 (-0.57)",NA,"146 (-0.13)",NA
"116",2,"fenbufen","10uM","24h","NEU","263 (-0.54)",NA,"180 (-0.11)",NA
"117",2,"FR-180204","0.12uM","24h","MNEU","138 (-0.62)",NA,"97 (-0.14)",NA
"118",2,"FR-180204","10uM","24h","MNEU","300 (-0.52)",NA,"154 (-0.12)",NA
