"","Freq","cmap_name","pert_idose","pert_itime","cell_iname","cmap1","cmap2","ZangS","XsumS"
"1",4,"BG-1008","10uM","24h","NPC","37 (-0.75)","9 (-1.37)","27 (-0.15)","6 (-45.14)"
"2",4,"BG-1029","10uM","24h","NPC","10 (-0.88)","10 (-1.37)","9 (-0.18)","2 (-70.45)"
"3",4,"BRD-K68202742","10uM","24h","NPC","35 (-0.76)","12 (-1.36)","16 (-0.16)","4 (-58)"
"4",4,"KIN001-266","3.33uM","24h","MNEU","15 (-0.84)","3 (-1.48)","24 (-0.15)","17 (-19.84)"
"5",4,"KW-2449","0.12uM","24h","MNEU","77 (-0.69)","21 (-1.28)","39 (-0.14)","18 (-19.55)"
"6",4,"M-344","10uM","24h","NPC","1 (-1)","4 (-1.45)","3 (-0.19)","3 (-65.79)"
"7",4,"oxamflatin","10uM","24h","NPC","12 (-0.86)","2 (-1.59)","4 (-0.19)","1 (-76.8)"
"8",4,"SCH-58261","10uM","24h","NPC","9 (-0.89)","1 (-1.63)","2 (-0.2)","13 (-30.37)"
"9",3,"apicidin","10uM","24h","NPC","18 (-0.83)","18 (-1.32)","20 (-0.16)",NA
"10",3,"BG-1006","10uM","24h","NPC","4 (-0.92)","7 (-1.37)","7 (-0.18)",NA
"11",3,"BG-1028","10uM","24h","NPC","22 (-0.81)","22 (-1.27)","12 (-0.17)",NA
"12",3,"BG-1030","10uM","24h","NPC","59 (-0.72)","19 (-1.3)","17 (-0.16)",NA
"13",3,"KIN001-260","3.33uM","24h","NEU","88 (-0.68)","15 (-1.34)",NA,"9 (-36.88)"
"14",3,"MRS-1220","10uM","24h","NEU","65 (-0.71)","6 (-1.37)",NA,"10 (-36.73)"
"15",3,"PFI-1","10uM","24h","NPC","91 (-0.67)","11 (-1.36)","38 (-0.14)",NA
"16",3,"SB-939","10uM","24h","NPC","7 (-0.9)","14 (-1.34)","26 (-0.15)",NA
"17",3,"scriptaid","10uM","24h","NPC","26 (-0.79)",NA,"15 (-0.16)","5 (-53.06)"
"18",3,"TAK-715","1.11uM","24h","NEU",NA,"13 (-1.35)","25 (-0.15)","11 (-34.34)"
"19",3,"vorinostat","10uM","24h","NPC","72 (-0.7)",NA,"43 (-0.13)","7 (-43.86)"
"20",2,"AST-1306","0.04uM","24h","MNEU","47 (-0.73)",NA,"36 (-0.14)",NA
"21",2,"AST-1306","0.12uM","24h","MNEU","5 (-0.91)",NA,"5 (-0.19)",NA
"22",2,"AST-1306","1.11uM","24h","MNEU","68 (-0.71)",NA,"46 (-0.13)",NA
"23",2,"AZD-4547","1.11uM","24h","MNEU","20 (-0.82)",NA,"33 (-0.15)",NA
"24",2,"belinostat","10uM","24h","NPC","40 (-0.75)","20 (-1.29)",NA,NA
"25",2,"BG-1005","10uM","24h","NEU","58 (-0.72)","5 (-1.44)",NA,NA
"26",2,"BIX-02189","0.37uM","24h","MNEU","8 (-0.9)",NA,"1 (-0.21)",NA
"27",2,"BIX-02189","1.11uM","24h","MNEU","31 (-0.77)",NA,"11 (-0.17)",NA
