"","Freq","cmap_name","pert_idose","pert_itime","cell_iname","cmap1","cmap2","ZangS","XsumS"
"1",4,"alitretinoin","10uM","24h","NPC","68 (-0.71)","6 (-1.34)","40 (-0.15)","11 (-13.55)"
"2",4,"oxamflatin","10uM","24h","NPC","33 (-0.78)","2 (-1.45)","11 (-0.17)","2 (-58.56)"
"3",4,"SB-203580","10uM","24h","NEU","20 (-0.81)","3 (-1.38)","9 (-0.17)","8 (-20.85)"
"4",4,"TAK-715","1.11uM","24h","NEU","39 (-0.77)","13 (-1.22)","12 (-0.17)","4 (-26.09)"
"5",3,"AST-1306","0.12uM","24h","MNEU","1 (-1)",NA,"1 (-0.22)","9 (-17.09)"
"6",3,"BG-1026","10uM","6h","NPC","86 (-0.69)","7 (-1.31)","41 (-0.14)",NA
"7",3,"HMN-214","0.04uM","24h","NEU","51 (-0.73)","12 (-1.23)",NA,"5 (-24.25)"
"8",3,"KIN001-260","3.33uM","24h","NEU","25 (-0.79)",NA,"10 (-0.17)","3 (-29.04)"
"9",3,"KW-2449","0.37uM","24h","MNEU","7 (-0.85)","8 (-1.31)","17 (-0.16)",NA
"10",2,"A-769662","1.11uM","24h","NEU","42 (-0.75)",NA,"28 (-0.15)",NA
"11",2,"ALW-II-49-7","10uM","24h","MNEU",NA,NA,"16 (-0.16)","12 (-11.58)"
"12",2,"apicidin","10uM","6h","NPC","112 (-0.62)",NA,"47 (-0.14)",NA
"13",2,"AST-1306","1.11uM","24h","MNEU","4 (-0.87)",NA,"21 (-0.16)",NA
"14",2,"AZD-4547","1.11uM","24h","MNEU","90 (-0.68)",NA,"45 (-0.14)",NA
"15",2,"BG-1006","10uM","24h","NEU",NA,"1 (-1.47)",NA,"1 (-63.05)"
"16",2,"BG-1006","10uM","24h","NPC","34 (-0.78)",NA,"31 (-0.15)",NA
"17",2,"BG-1028","10uM","24h","NPC","48 (-0.74)",NA,"48 (-0.14)",NA
"18",2,"BIX-02189","0.37uM","24h","MNEU","19 (-0.81)",NA,"2 (-0.2)",NA
"19",2,"BIX-02189","1.11uM","24h","MNEU","53 (-0.73)",NA,"24 (-0.16)",NA
"20",2,"bizine","3.33uM","24h","NPC","18 (-0.81)",NA,"19 (-0.16)",NA
"21",2,"BRD-K33392208","10uM","24h","NEU","32 (-0.78)",NA,"35 (-0.15)",NA
"22",2,"BRD-K36614862","0.04uM","24h","NPC","55 (-0.73)",NA,"22 (-0.16)",NA
"23",2,"BRD-K36614862","1.11uM","24h","NPC","15 (-0.82)",NA,"3 (-0.2)",NA
"24",2,"BRD-K80553643","10uM","24h","NPC","8 (-0.85)",NA,"20 (-0.16)",NA
"25",2,"BRD-K99667445","10uM","6h","NEU","97 (-0.67)",NA,"49 (-0.14)",NA
"26",2,"BS-181","0.37uM","24h","MNEU","35 (-0.77)",NA,"14 (-0.17)",NA
"27",2,"cabozantinib","0.12uM","24h","MNEU","14 (-0.82)",NA,"30 (-0.15)",NA
"28",2,"cabozantinib","3.33uM","24h","MNEU","2 (-0.94)",NA,"5 (-0.19)",NA
"29",2,"GW-5074","0.37uM","24h","NEU","38 (-0.77)",NA,"34 (-0.15)",NA
"30",2,"ibrutinib","3.33uM","24h","MNEU","5 (-0.87)",NA,"4 (-0.19)",NA
"31",2,"KIN001-242","1.11uM","24h","NEU","60 (-0.72)",NA,"50 (-0.14)",NA
"32",2,"KIN001-244","1.11uM","24h","MNEU","6 (-0.86)",NA,"15 (-0.17)",NA
"33",2,"KIN001-260","0.37uM","24h","NEU","69 (-0.71)",NA,"44 (-0.14)",NA
"34",2,"KIN001-266","1.11uM","24h","MNEU","9 (-0.84)",NA,"32 (-0.15)",NA
"35",2,"KIN001-266","3.33uM","24h","MNEU","28 (-0.79)",NA,"27 (-0.15)",NA
"36",2,"M-344","10uM","24h","NPC","11 (-0.84)",NA,"7 (-0.18)",NA
"37",2,"masitinib","1.11uM","24h","MNEU","16 (-0.82)",NA,"25 (-0.16)",NA
"38",2,"mirtazapine","10uM","24h","NEU","57 (-0.72)",NA,"51 (-0.13)",NA
"39",2,"OSI-930","0.37uM","24h","MNEU","10 (-0.84)",NA,"18 (-0.16)",NA
"40",2,"pazopanib","0.12uM","24h","MNEU","13 (-0.82)",NA,"13 (-0.17)",NA
"41",2,"pazopanib","3.33uM","24h","MNEU","21 (-0.81)",NA,"29 (-0.15)",NA
"42",2,"PD-0325901","0.12uM","24h","MNEU","71 (-0.71)",NA,"37 (-0.15)",NA
"43",2,"regorafenib","0.37uM","24h","NEU","31 (-0.78)","14 (-1.22)",NA,NA
"44",2,"SAR-245409","0.04uM","24h","MNEU","45 (-0.74)",NA,"38 (-0.15)",NA
"45",2,"SCH-58261","10uM","24h","NPC","66 (-0.71)",NA,"36 (-0.15)",NA
"46",2,"scriptaid","10uM","24h","NPC","63 (-0.71)",NA,"43 (-0.14)",NA
"47",2,"SEW-2871","10uM","24h","NPC","56 (-0.72)",NA,"23 (-0.16)",NA
"48",2,"SGI-1776","0.04uM","24h","MNEU","17 (-0.82)",NA,"8 (-0.18)",NA
"49",2,"sunitinib","0.37uM","24h","MNEU","12 (-0.83)",NA,"6 (-0.18)",NA
"50",2,"WZ-7043","0.04uM","24h","MNEU",NA,NA,"26 (-0.15)","10 (-15.51)"
"51",2,"WZ-7043","0.37uM","24h","MNEU","23 (-0.8)",NA,"39 (-0.15)",NA
